track_id,track_name,primary_artist_name,album_release_year,track_popularity,popularity_bin,n_ratings_track,p_empirical,p_artist,n_artist,p_year,n_year,p_popularity,n_popularity,p_artist_genre,n_artist_genre,p_mood_timbre,n_mood_timbre,p_dance_party,n_dance_party,p_instrumental_electronic,n_instrumental_electronic,n_feature_support,p_feature_weighted,p_final,p_global,method
7b4eqsDeLUzSrGth8uB2D1,lovely,Billie Eilish,2021,59,Medium,11,0.15384615384615385,0.3815789473684211,150,0.1435114503816794,653,0.12817551963048499,864,0.3815789473684211,150,0.3419047619047619,1048,0.39124579124579123,2968,0.35257548845470693,3376,9209,0.32395781286220543,0.15384615384615385,0.3328613077884215,empirical
7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,2016,86,High,13,0.4,0.53125,30,0.3399532710280374,854,0.35250295266648496,11005,0.53125,30,0.3506040268456376,3723,0.3105590062111801,3862,0.35392938496583143,3510,23014,0.32395781286220543,0.4,0.3328613077884215,empirical
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,The Chainsmokers,2017,87,High,10,0.8333333333333334,0.53125,30,0.3100401606425703,1243,0.35250295266648496,11005,0.53125,30,0.3057779701363341,4619,0.3105590062111801,3862,0.29694621695533274,4386,25175,0.32395781286220543,0.8333333333333334,0.3328613077884215,empirical
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,2013,91,High,18,0.8,0.7307692307692307,76,0.5323886639676113,492,0.35250295266648496,11005,0.7307692307692307,76,0.3057779701363341,4619,0.39124579124579123,2968,0.35392938496583143,3510,22746,0.32395781286220543,0.8,0.3328613077884215,empirical
2N8m6CYs74qQO4mjVcXO30,Dance Monkey,Tones And I,2021,75,High,20,0.13636363636363635,0.13636363636363635,20,0.1435114503816794,653,0.35250295266648496,11005,0.13636363636363635,20,0.3057779701363341,4619,0.3248459958932238,4868,0.29694621695533274,4386,25571,0.32395781286220543,0.13636363636363635,0.3328613077884215,empirical
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,2000,91,High,10,0.25,0.3829787234042553,92,0.27049180327868855,120,0.35250295266648496,11005,0.3829787234042553,92,0.3057779701363341,4619,0.39124579124579123,2968,0.35392938496583143,3510,22406,0.32395781286220543,0.25,0.3328613077884215,empirical
3hRV0jL3vUpRrcy398teAU,The Night We Met,Lord Huron,2015,90,High,15,0.6470588235294118,0.6470588235294118,15,0.39804469273743015,714,0.35250295266648496,11005,0.6470588235294118,15,0.3523118074130684,2615,0.39124579124579123,2968,0.3578231292517007,733,18065,0.32395781286220543,0.6470588235294118,0.3328613077884215,empirical
7yq4Qj7cqayVTp3FF9CWbm,Riptide,Vance Joy,2014,81,High,12,0.42857142857142855,0.42857142857142855,12,0.5425709515859767,597,0.35250295266648496,11005,0.42857142857142855,12,0.3419047619047619,1048,0.3248459958932238,4868,0.35257548845470693,3376,20918,0.32395781286220543,0.42857142857142855,0.3328613077884215,empirical
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),Post Malone,2018,81,High,4,0.3333333333333333,0.22429906542056074,105,0.231369150779896,1152,0.35250295266648496,11005,0.17894736842105263,93,0.3057779701363341,4619,0.3105590062111801,3862,0.29694621695533274,4386,25222,0.32115617758189385,0.3211604273450626,0.3328613077884215,mixed
3dYD57lRAUcMHufyqn9GcI,Take Me To Church,Hozier,2014,83,High,10,0.9166666666666666,0.6756756756756757,35,0.5425709515859767,597,0.35250295266648496,11005,0.75,22,0.3506040268456376,3723,0.39124579124579123,2968,0.35257548845470693,3376,21726,0.32115617758189385,0.9166666666666666,0.3328613077884215,empirical
0ch8PUB8JRTMJqmdmfY46U,Photograph,Ed Sheeran,2015,57,Medium,9,0.09090909090909091,0.366412213740458,129,0.39804469273743015,714,0.12817551963048499,864,0.34615384615384615,102,0.3057779701363341,4619,0.3248459958932238,4868,0.29694621695533274,4386,15682,0.3044064979518221,0.3042931585064022,0.3328613077884215,mixed
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,2019,83,High,8,0.2,0.28888888888888886,88,0.2433668801463861,1091,0.35250295266648496,11005,0.28888888888888886,88,0.3506040268456376,3723,0.3248459958932238,4868,0.35392938496583143,3510,24373,0.34154823272821677,0.3415000196526663,0.3328613077884215,mixed
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,2019,88,High,12,0.5,0.4833948339483395,269,0.2433668801463861,1091,0.35250295266648496,11005,0.4828897338403042,261,0.3419047619047619,1048,0.3105590062111801,3862,0.29694621695533274,4386,21922,0.34154823272821677,0.5,0.3328613077884215,empirical
22skzmqfdWrjJylampe0kt,Can't Hold Us (feat. Ray Dalton),Macklemore,2012,83,High,11,0.23076923076923078,0.15789473684210525,17,0.5325443786982249,505,0.35250295266648496,11005,0.15789473684210525,17,0.3506040268456376,3723,0.3248459958932238,4868,0.29694621695533274,4386,24521,0.34154823272821677,0.23076923076923078,0.3328613077884215,empirical
79CzbTOcQbkkkjLCPyn19y,Lucid Dreams,Juice WRLD,2023,45,Medium,4,0.16666666666666666,0.08888888888888889,43,0.0625,94,0.12817551963048499,864,0.08888888888888889,43,0.3057779701363341,4619,0.3248459958932238,4868,0.35257548845470693,3376,13907,0.3097951629364503,0.30976231459180176,0.3328613077884215,mixed
2LBqCSwhJGcFQeTHMVGwy3,Die For You,The Weeknd,2016,86,High,13,0.5333333333333333,0.30246913580246915,160,0.3399532710280374,854,0.35250295266648496,11005,0.30246913580246915,160,0.3057779701363341,4619,0.3248459958932238,4868,0.35392938496583143,3510,25176,0.3097951629364503,0.5333333333333333,0.3328613077884215,empirical
21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,2019,86,High,8,0.7,0.22429906542056074,105,0.2433668801463861,1091,0.35250295266648496,11005,0.17894736842105263,93,0.3506040268456376,3723,0.3248459958932238,4868,0.35257548845470693,3376,24261,0.3405427994572467,0.34065967415431364,0.3328613077884215,mixed
6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,2016,84,High,6,0.125,0.16363636363636364,53,0.3399532710280374,854,0.35250295266648496,11005,0.16363636363636364,53,0.3057779701363341,4619,0.3248459958932238,4868,0.29694621695533274,4386,25838,0.32831848407581155,0.3282721726454648,0.3328613077884215,mixed
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,1983,90,High,5,0.2857142857142857,0.18181818181818182,9,0.13043478260869565,21,0.35250295266648496,11005,0.18181818181818182,9,0.3523118074130684,2615,0.39124579124579123,2968,0.35392938496583143,3510,20137,0.35805315575513363,0.3580289533833019,0.3328613077884215,mixed
3z8h0TU7ReDPLIbEnYhWZb,Bohemian Rhapsody,Queen,2018,74,High,8,0.4,0.14705882352941177,66,0.231369150779896,1152,0.35250295266648496,11005,0.16981132075471697,51,0.3506040268456376,3723,0.39124579124579123,2968,0.35257548845470693,3376,22341,0.3500741522713654,0.3500881683099865,0.3328613077884215,mixed
2L8B3sLZ2GW6x5ajeiH8bS,Love Yourself,Justin Bieber,2018,47,Medium,5,0.14285714285714285,0.34146341463414637,121,0.231369150779896,1152,0.12817551963048499,864,0.15384615384615385,11,0.3506040268456376,3723,0.39124579124579123,2968,0.35257548845470693,3376,12215,0.33378067939893563,0.33370222887625944,0.3328613077884215,mixed
6DCZcSspjsKoFjzjrWoCdn,God's Plan,Drake,2018,84,High,5,0.2857142857142857,0.31176470588235294,168,0.231369150779896,1152,0.35250295266648496,11005,0.31176470588235294,168,0.3057779701363341,4619,0.3105590062111801,3862,0.29694621695533274,4386,25360,0.32195421722931333,0.32194922494629347,0.3328613077884215,mixed
1zB4vmk8tFRmM9UULNzbLB,Thunder,Imagine Dragons,2017,85,High,10,0.75,0.4691358024691358,79,0.3100401606425703,1243,0.35250295266648496,11005,0.4722222222222222,70,0.3057779701363341,4619,0.3105590062111801,3862,0.35257548845470693,3376,24254,0.32195421722931333,0.75,0.3328613077884215,empirical
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,2012,88,High,16,0.8888888888888888,0.46017699115044247,111,0.5325443786982249,505,0.35250295266648496,11005,0.47,98,0.3419047619047619,1048,0.39124579124579123,2968,0.35392938496583143,3510,19245,0.32195421722931333,0.8888888888888888,0.3328613077884215,empirical
5qaEfEh1AtSdrdrByCP7qR,Demons,Imagine Dragons,2012,83,High,8,0.7,0.4691358024691358,79,0.5325443786982249,505,0.35250295266648496,11005,0.4722222222222222,70,0.3506040268456376,3723,0.3105590062111801,3862,0.35257548845470693,3376,22620,0.3498348483348836,0.34995485953482125,0.3328613077884215,mixed
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,2004,88,High,9,0.5454545454545454,0.5454545454545454,9,0.5189873417721519,156,0.35250295266648496,11005,0.5454545454545454,9,0.3419047619047619,1048,0.3248459958932238,4868,0.29694621695533274,4386,21481,0.3357452655903137,0.33583239233961676,0.3328613077884215,mixed
3tSmXSxaAnU1EPGKa6NytH,In the End,Linkin Park,2000,67,High,8,0.4,0.3855421686746988,81,0.27049180327868855,120,0.35250295266648496,11005,0.3855421686746988,81,0.3057779701363341,4619,0.3105590062111801,3862,0.29694621695533274,4386,24154,0.3265867487255207,0.32661234675628364,0.3328613077884215,mixed
